user_id,days_since_last_session,avg_session_duration,session_frequency_7d,session_frequency_30d,sessions_per_week,weekend_activity_ratio,streak_current,streak_longest,ramadan_engagement_ratio,is_ramadan_convert,days_since_ramadan,last_10_nights_sessions,jummah_participation_rate,prayer_time_interaction_rate,eid_participation,muharram_participation,quran_reading_pct,hadith_engagement_pct,lecture_watch_minutes,fiqh_content_views,seerah_content_views,tafsir_engagement,topic_diversity_score,content_completion_rate,bookmark_count,friends_count,shares_sent,comments_made,days_since_last_social,is_churned,days_since_signup,content_quran_read,subscription_basic,subscription_free,subscription_premium,location_Atlanta GA,location_Chicago IL,location_Dallas TX,location_Detroit MI,location_Houston TX,location_Los Angeles CA,location_Minneapolis MN,location_New York NY,location_Philadelphia PA,location_Washington DC
7590-VHVEG,1,32.50665355691959,7,29.400000000000002,7,0.4218764264726992,10,28,2.2459278952186486,0,353,0,0.7853850297433312,0.0,1,1,0.7261010018135273,0.5990893491304772,0.0,20,23,6,0.5880472459313977,0.7699702685151463,82,140,49,51,23,0,30,345,0,1,0,1,0,0,0,0,0,0,0,0,0
5575-GNVDE,6,22.08023307905267,10,42.0,10,0.2699795466850384,24,94,1.420982178578941,0,186,0,0.7783516243239396,0.4021387934501096,1,0,0.2556078088062882,0.5421447302625937,0.0,39,18,28,0.5229489977425705,0.8244848780559854,48,46,26,45,42,0,1020,464,1,0,0,0,0,0,0,1,0,0,0,0,0
3668-QPYBK,54,5.84313773933821,1,4.2,1,0.4593273691548471,0,5,2.183836111106195,0,167,0,0.8835019336699812,0.8759257275280177,1,0,0.24308379772442626,0.2520966047339568,0.0,30,11,16,0.8427504888768853,0.2595791912135022,87,12,41,37,35,1,60,349,0,1,0,0,0,0,0,0,0,0,0,0,1
7795-CFOCW,6,28.31215150432839,6,25.200000000000003,6,0.37646766641556345,1,91,1.5201111366155557,0,41,0,0.7098713365108404,0.0,0,0,0.2786799295681157,0.48207419010034214,0.0,33,11,5,0.34035386257457734,0.8348375240136634,3,58,13,7,49,0,1350,76,1,0,0,0,0,0,0,0,0,0,0,1,0
9237-HQITU,66,5.7682581071959,1,4.2,1,0.3539043185035132,0,6,2.0405355255731417,0,30,0,0.5718369801658019,0.66303570125741,1,0,0.4718205169640086,0.239274187514327,0.0,29,0,21,0.7981336152720823,0.13275319382032238,42,136,39,77,46,1,60,274,0,1,0,1,0,0,0,0,0,0,0,0,0
9305-CDSKC,81,7.0055534834554685,0,0.0,0,0.49240763071895505,0,10,1.0300746106433734,1,255,6,0.7899579233228128,0.8540753635443368,1,1,0.41563542754555505,0.16601026307804462,130.07061763591608,23,27,2,0.40861081385295234,0.11821049551042287,56,138,17,50,5,1,240,247,0,1,0,0,0,0,0,0,0,1,0,0,0
1452-KIOVK,3,17.82726076939241,6,25.200000000000003,6,0.3817769088964395,29,66,0.7186277461024209,1,354,1,0.9417518813498222,0.5153543595471746,0,0,0.28632511009010453,0.5088913884294267,122.75947107671833,49,12,20,0.4371656558581485,0.6264880083842631,88,56,37,65,10,0,660,24,0,1,0,0,1,0,0,0,0,0,0,0,0
6713-OKOMC,6,30.42037197966114,12,50.400000000000006,12,0.20702936376227796,25,94,1.4287439679982255,0,349,0,0.927742490874971,0.0,0,1,0.5245410265464096,0.2229611963196398,0.0,28,15,19,0.37976864341527083,0.9318324668362279,33,137,7,1,52,0,300,321,0,1,0,1,0,0,0,0,0,0,0,0,0
7892-POOKP,65,9.561404946127222,0,0.0,0,0.557294427708191,0,6,2.100134306548245,0,356,4,0.5776101972125286,0.4499816505496656,1,1,0.20098554595765245,0.25173077142316674,38.72949375679489,15,16,22,0.6303876649687662,0.13451799388688385,57,44,39,12,28,1,840,176,0,1,0,0,0,0,0,0,0,0,0,0,1
6388-TABGU,6,16.061283844476662,7,29.400000000000002,7,0.560023446990007,2,65,1.1840361643724922,0,154,0,0.8871449629762103,0.4551242461161183,1,0,0.7269657899904902,0.06682675067264826,0.0,17,19,2,0.5596138401326365,0.7637873130973809,7,52,39,77,50,0,1860,493,1,0,0,0,0,0,0,0,0,0,0,1,0
9763-GRSKD,1,29.1858988376499,16,67.2,16,0.5038253246672233,4,56,2.0588756504515064,0,30,0,0.3264520462165962,0.787326075249106,1,1,0.7607824674495637,0.2637277649618634,0.0,7,37,25,0.6927108559129451,0.8161596629405119,58,3,5,49,46,0,390,464,0,1,0,0,0,0,0,1,0,0,0,0,0
7469-LKBCI,1,39.845079533942645,14,58.800000000000004,14,0.32092067344777153,22,21,1.364132329637275,0,110,0,0.0,0.4569461429087443,1,0,0.0,0.0,0.0,0,0,0,0.5754887694012099,0.9407286040987519,17,49,14,24,12,0,480,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8091-TTVAX,5,39.350482937286955,13,54.6,13,0.40445248294727676,11,77,0.8306980885958317,1,65,5,0.465448552336601,0.7839400184377173,1,1,0.5237494565537801,0.2823826367887599,28.048714944928133,38,26,23,0.6577500065364192,0.9241397077403182,48,109,32,68,51,0,1740,35,1,0,0,0,0,0,0,0,0,0,0,0,1
0280-XJGEX,50,8.143503251535936,1,4.2,1,0.24261842761252805,0,7,1.7216011730679968,1,324,2,0.31259264807956144,0.6180977965388444,1,0,0.7249094945679675,0.19753133807088025,82.51989264920812,23,5,25,0.757275376775917,0.19505613841721742,74,140,20,65,42,1,1470,260,0,1,0,0,1,0,0,0,0,0,0,0,0
5129-JLPIS,0,20.910224068504835,13,54.6,13,0.5273073396790136,10,54,1.1812588486496092,0,279,5,0.7212939451950935,0.8548290936218789,0,1,0.46477741144355966,0.45771016460388864,157.7914811393073,2,30,6,0.5806490396771213,0.8136770331139779,60,113,30,25,51,0,750,381,0,1,0,0,0,1,0,0,0,0,0,0,0
3655-SNQYZ,6,18.904236292088985,6,25.200000000000003,6,0.48014448426799644,18,16,1.0753446812929321,0,292,1,0.48683219938847144,0.6064540244591258,1,0,0.20154535679109606,0.3709013344191951,142.08698068360425,36,2,25,0.7358201510214306,0.8851614883673695,50,88,0,56,50,0,2070,62,0,0,1,0,0,0,0,0,0,0,0,1,0
8191-XWSZG,6,42.27619345156446,12,50.400000000000006,12,0.5661659551628333,20,83,0.6123098108460574,0,281,0,0.0,0.7356744622223372,0,1,0.0,0.0,0.0,0,0,0,0.3510300665028516,0.8914394316542396,62,86,14,1,18,0,1560,0,1,0,0,0,0,0,0,0,1,0,0,0,0
